日期,時段名稱,具體時間,節氣,年柱,年納音,月柱,月納音,日柱,日納音,時柱,時納音,胎元,命宮,年星,月星,日星,時星,時星五行
1978-01-01,早子時,00:00-01:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,壬子,桑柘木,辛卯,亥宮,五黃,一白,三碧,七赤,金
1978-01-01,丑時,01:00-03:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,癸丑,桑柘木,辛卯,戌宮,五黃,一白,三碧,八白,土
1978-01-01,寅時,03:00-05:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,甲寅,大溪水,辛卯,酉宮,五黃,一白,三碧,九紫,火
1978-01-01,卯時,05:00-07:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,乙卯,大溪水,辛卯,申宮,五黃,一白,三碧,一白,水
1978-01-01,辰時,07:00-09:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,丙辰,沙中土,辛卯,未宮,五黃,一白,三碧,二黑,土
1978-01-01,巳時,09:00-11:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,丁巳,沙中土,辛卯,午宮,五黃,一白,三碧,三碧,木
1978-01-01,午時,11:00-13:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,戊午,天上火,辛卯,巳宮,五黃,一白,三碧,四綠,木
1978-01-01,未時,13:00-15:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,己未,天上火,辛卯,辰宮,五黃,一白,三碧,五黃,土
1978-01-01,申時,15:00-17:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,庚申,石榴木,辛卯,卯宮,五黃,一白,三碧,六白,金
1978-01-01,酉時,17:00-19:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,辛酉,石榴木,辛卯,寅宮,五黃,一白,三碧,七赤,金
1978-01-01,戌時,19:00-21:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,壬戌,大海水,辛卯,丑宮,五黃,一白,三碧,八白,土
1978-01-01,亥時,21:00-23:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,癸亥,大海水,辛卯,子宮,五黃,一白,三碧,九紫,火
1978-01-01,晚子時,23:00-24:00,,丁巳,沙中土,庚子,壁上土,癸亥,大海水,甲子,海中金,辛卯,亥宮,五黃,一白,三碧,一白,水
1978-01-02,早子時,00:00-01:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,甲子,海中金,辛卯,亥宮,五黃,一白,四綠,一白,水
1978-01-02,丑時,01:00-03:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,乙丑,海中金,辛卯,戌宮,五黃,一白,四綠,二黑,土
1978-01-02,寅時,03:00-05:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,丙寅,爐中火,辛卯,酉宮,五黃,一白,四綠,三碧,木
1978-01-02,卯時,05:00-07:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,丁卯,爐中火,辛卯,申宮,五黃,一白,四綠,四綠,木
1978-01-02,辰時,07:00-09:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,戊辰,大林木,辛卯,未宮,五黃,一白,四綠,五黃,土
1978-01-02,巳時,09:00-11:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,己巳,大林木,辛卯,午宮,五黃,一白,四綠,六白,金
1978-01-02,午時,11:00-13:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,庚午,路旁土,辛卯,巳宮,五黃,一白,四綠,七赤,金
1978-01-02,未時,13:00-15:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,辛未,路旁土,辛卯,辰宮,五黃,一白,四綠,八白,土
1978-01-02,申時,15:00-17:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,壬申,劍鋒金,辛卯,卯宮,五黃,一白,四綠,九紫,火
1978-01-02,酉時,17:00-19:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,癸酉,劍鋒金,辛卯,寅宮,五黃,一白,四綠,一白,水
1978-01-02,戌時,19:00-21:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,甲戌,山頭火,辛卯,丑宮,五黃,一白,四綠,二黑,土
1978-01-02,亥時,21:00-23:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,乙亥,山頭火,辛卯,子宮,五黃,一白,四綠,三碧,木
1978-01-02,晚子時,23:00-24:00,,丁巳,沙中土,庚子,壁上土,甲子,海中金,丙子,澗下水,辛卯,亥宮,五黃,一白,四綠,四綠,木
1978-01-03,早子時,00:00-01:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,丙子,澗下水,辛卯,亥宮,五黃,一白,五黃,四綠,木
1978-01-03,丑時,01:00-03:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,丁丑,澗下水,辛卯,戌宮,五黃,一白,五黃,五黃,土
1978-01-03,寅時,03:00-05:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,戊寅,城頭土,辛卯,酉宮,五黃,一白,五黃,六白,金
1978-01-03,卯時,05:00-07:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,己卯,城頭土,辛卯,申宮,五黃,一白,五黃,七赤,金
1978-01-03,辰時,07:00-09:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,庚辰,白蠟金,辛卯,未宮,五黃,一白,五黃,八白,土
1978-01-03,巳時,09:00-11:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,辛巳,白蠟金,辛卯,午宮,五黃,一白,五黃,九紫,火
1978-01-03,午時,11:00-13:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,壬午,楊柳木,辛卯,巳宮,五黃,一白,五黃,一白,水
1978-01-03,未時,13:00-15:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,癸未,楊柳木,辛卯,辰宮,五黃,一白,五黃,二黑,土
1978-01-03,申時,15:00-17:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,甲申,泉中水,辛卯,卯宮,五黃,一白,五黃,三碧,木
1978-01-03,酉時,17:00-19:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,乙酉,泉中水,辛卯,寅宮,五黃,一白,五黃,四綠,木
1978-01-03,戌時,19:00-21:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,丙戌,屋上土,辛卯,丑宮,五黃,一白,五黃,五黃,土
1978-01-03,亥時,21:00-23:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,丁亥,屋上土,辛卯,子宮,五黃,一白,五黃,六白,金
1978-01-03,晚子時,23:00-24:00,,丁巳,沙中土,庚子,壁上土,乙丑,海中金,戊子,霹靂火,辛卯,亥宮,五黃,一白,五黃,七赤,金
