日期,時段名稱,具體時間,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,時柱,時屬性,年星,年星五行,月星,月星五行,日星,日星五行,時星,時星五行
1978-01-01,早子時,00:00-01:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,壬子,陽水陽水,五黃,土,一白,水,三碧,木,七赤,金
1978-01-01,丑時,01:00-03:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,癸丑,陰水陰土,五黃,土,一白,水,三碧,木,八白,土
1978-01-01,寅時,03:00-05:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,甲寅,陽木陽木,五黃,土,一白,水,三碧,木,九紫,火
1978-01-01,卯時,05:00-07:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,乙卯,陰木陰木,五黃,土,一白,水,三碧,木,一白,水
1978-01-01,辰時,07:00-09:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,丙辰,陽火陽土,五黃,土,一白,水,三碧,木,二黑,土
1978-01-01,巳時,09:00-11:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,丁巳,陰火陰火,五黃,土,一白,水,三碧,木,三碧,木
1978-01-01,午時,11:00-13:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,戊午,陽土陽火,五黃,土,一白,水,三碧,木,四綠,木
1978-01-01,未時,13:00-15:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,己未,陰土陰土,五黃,土,一白,水,三碧,木,五黃,土
1978-01-01,申時,15:00-17:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,庚申,陽金陽金,五黃,土,一白,水,三碧,木,六白,金
1978-01-01,酉時,17:00-19:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,辛酉,陰金陰金,五黃,土,一白,水,三碧,木,七赤,金
1978-01-01,戌時,19:00-21:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,壬戌,陽水陽土,五黃,土,一白,水,三碧,木,八白,土
1978-01-01,亥時,21:00-23:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,癸亥,陰水陰水,五黃,土,一白,水,三碧,木,九紫,火
1978-01-01,晚子時,23:00-24:00,,丁巳,陰火陰火,庚子,陽金陽水,癸亥,陰水陰水,甲子,陽木陽水,五黃,土,一白,水,三碧,木,七赤,金
1978-01-02,早子時,00:00-01:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,甲子,陽木陽水,五黃,土,一白,水,四綠,木,一白,水
1978-01-02,丑時,01:00-03:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,乙丑,陰木陰土,五黃,土,一白,水,四綠,木,二黑,土
1978-01-02,寅時,03:00-05:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,丙寅,陽火陽木,五黃,土,一白,水,四綠,木,三碧,木
1978-01-02,卯時,05:00-07:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,丁卯,陰火陰木,五黃,土,一白,水,四綠,木,四綠,木
1978-01-02,辰時,07:00-09:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,戊辰,陽土陽土,五黃,土,一白,水,四綠,木,五黃,土
1978-01-02,巳時,09:00-11:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,己巳,陰土陰火,五黃,土,一白,水,四綠,木,六白,金
1978-01-02,午時,11:00-13:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,庚午,陽金陽火,五黃,土,一白,水,四綠,木,七赤,金
1978-01-02,未時,13:00-15:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,辛未,陰金陰土,五黃,土,一白,水,四綠,木,八白,土
1978-01-02,申時,15:00-17:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,壬申,陽水陽金,五黃,土,一白,水,四綠,木,九紫,火
1978-01-02,酉時,17:00-19:00,,丁巳,陰火陰火,庚子,陽金陽水,甲子,陽木陽水,癸酉,陰水陰金,五黃,土,一白,水,四綠,木,一白,水
