日期,節氣,年柱,年屬性,月柱,月屬性,日柱,日屬性,年星,年星五行,月星,月星五行,日星,日星五行
2025-01-01,,甲辰,陽木陽土,甲子,陽木陽水,庚午,陽金陽火,三碧,木,四綠,木,七赤,金
2025-01-02,,甲辰,陽木陽土,甲子,陽木陽水,辛未,陰金陰土,三碧,木,四綠,木,八白,土
2025-01-03,,甲辰,陽木陽土,甲子,陽木陽水,壬申,陽水陽金,三碧,木,四綠,木,九紫,火
2025-01-04,,甲辰,陽木陽土,甲子,陽木陽水,癸酉,陰水陰金,三碧,木,四綠,木,一白,水
2025-01-05,,甲辰,陽木陽土,甲子,陽木陽水,甲戌,陽木陽土,三碧,木,四綠,木,二黑,土
2025-01-06,小寒,甲辰,陽木陽土,乙丑,陰木陰土,乙亥,陰木陰水,三碧,木,三碧,木,三碧,木
2025-01-07,,甲辰,陽木陽土,乙丑,陰木陰土,丙子,陽火陽水,三碧,木,三碧,木,四綠,木
2025-01-08,,甲辰,陽木陽土,乙丑,陰木陰土,丁丑,陰火陰土,三碧,木,三碧,木,五黃,土
2025-01-09,,甲辰,陽木陽土,乙丑,陰木陰土,戊寅,陽土陽木,三碧,木,三碧,木,六白,金
2025-01-10,,甲辰,陽木陽土,乙丑,陰木陰土,己卯,陰土陰木,三碧,木,三碧,木,七赤,金
2025-01-11,,甲辰,陽木陽土,乙丑,陰木陰土,庚辰,陽金陽土,三碧,木,三碧,木,八白,土
2025-01-12,,甲辰,陽木陽土,乙丑,陰木陰土,辛巳,陰金陰火,三碧,木,三碧,木,九紫,火
2025-01-13,,甲辰,陽木陽土,乙丑,陰木陰土,壬午,陽水陽火,三碧,木,三碧,木,一白,水
2025-01-14,,甲辰,陽木陽土,乙丑,陰木陰土,癸未,陰水陰土,三碧,木,三碧,木,二黑,土
2025-01-15,,甲辰,陽木陽土,乙丑,陰木陰土,甲申,陽木陽金,三碧,木,三碧,木,三碧,木
2025-01-16,,甲辰,陽木陽土,乙丑,陰木陰土,乙酉,陰木陰金,三碧,木,三碧,木,四綠,木
2025-01-17,,甲辰,陽木陽土,乙丑,陰木陰土,丙戌,陽火陽土,三碧,木,三碧,木,五黃,土
2025-01-18,,甲辰,陽木陽土,乙丑,陰木陰土,丁亥,陰火陰水,三碧,木,三碧,木,六白,金
2025-01-19,,甲辰,陽木陽土,乙丑,陰木陰土,戊子,陽土陽水,三碧,木,三碧,木,七赤,金
2025-01-20,,甲辰,陽木陽土,乙丑,陰木陰土,己丑,陰土陰土,三碧,木,三碧,木,八白,土
2025-01-21,大寒,甲辰,陽木陽土,乙丑,陰木陰土,庚寅,陽金陽木,三碧,木,三碧,木,九紫,火
2025-01-22,,甲辰,陽木陽土,乙丑,陰木陰土,辛卯,陰金陰木,三碧,木,三碧,木,一白,水
2025-01-23,,甲辰,陽木陽土,乙丑,陰木陰土,壬辰,陽水陽土,三碧,木,三碧,木,二黑,土
2025-01-24,,甲辰,陽木陽土,乙丑,陰木陰土,癸巳,陰水陰火,三碧,木,三碧,木,三碧,木
2025-01-25,,甲辰,陽木陽土,乙丑,陰木陰土,甲午,陽木陽火,三碧,木,三碧,木,四綠,木
2025-01-26,,甲辰,陽木陽土,乙丑,陰木陰土,乙未,陰木陰土,三碧,木,三碧,木,五黃,土
2025-01-27,,甲辰,陽木陽土,乙丑,陰木陰土,丙申,陽火陽金,三碧,木,三碧,木,六白,金
2025-01-28,,甲辰,陽木陽土,乙丑,陰木陰土,丁酉,陰火陰金,三碧,木,三碧,木,七赤,金
2025-01-29,,甲辰,陽木陽土,乙丑,陰木陰土,戊戌,陽土陽土,三碧,木,三碧,木,八白,土
2025-01-30,,甲辰,陽木陽土,乙丑,陰木陰土,己亥,陰土陰水,三碧,木,三碧,木,九紫,火
2025-01-31,,甲辰,陽木陽土,乙丑,陰木陰土,庚子,陽金陽水,三碧,木,三碧,木,一白,水
2025-02-01,,甲辰,陽木陽土,乙丑,陰木陰土,辛丑,陰金陰土,三碧,木,三碧,木,二黑,土
2025-02-02,,甲辰,陽木陽土,乙丑,陰木陰土,壬寅,陽水陽木,三碧,木,三碧,木,三碧,木
2025-02-03,,甲辰,陽木陽土,乙丑,陰木陰土,癸卯,陰水陰木,三碧,木,三碧,木,四綠,木
2025-02-04,立春,乙巳,陰木陰火,丙寅,陽火陽木,甲辰,陽木陽土,二黑,土,二黑,土,五黃,土
2025-02-05,,乙巳,陰木陰火,丙寅,陽火陽木,乙巳,陰木陰火,二黑,土,二黑,土,六白,金
2025-02-06,,乙巳,陰木陰火,丙寅,陽火陽木,丙午,陽火陽火,二黑,土,二黑,土,七赤,金
2025-02-07,,乙巳,陰木陰火,丙寅,陽火陽木,丁未,陰火陰土,二黑,土,二黑,土,八白,土
2025-02-08,,乙巳,陰木陰火,丙寅,陽火陽木,戊申,陽土陽金,二黑,土,二黑,土,九紫,火
2025-02-09,,乙巳,陰木陰火,丙寅,陽火陽木,己酉,陰土陰金,二黑,土,二黑,土,一白,水
2025-02-10,,乙巳,陰木陰火,丙寅,陽火陽木,庚戌,陽金陽土,二黑,土,二黑,土,二黑,土
2025-02-11,,乙巳,陰木陰火,丙寅,陽火陽木,辛亥,陰金陰水,二黑,土,二黑,土,三碧,木
2025-02-12,,乙巳,陰木陰火,丙寅,陽火陽木,壬子,陽水陽水,二黑,土,二黑,土,四綠,木
2025-02-13,,乙巳,陰木陰火,丙寅,陽火陽木,癸丑,陰水陰土,二黑,土,二黑,土,五黃,土
2025-02-14,,乙巳,陰木陰火,丙寅,陽火陽木,甲寅,陽木陽木,二黑,土,二黑,土,六白,金
2025-02-15,,乙巳,陰木陰火,丙寅,陽火陽木,乙卯,陰木陰木,二黑,土,二黑,土,七赤,金
2025-02-16,,乙巳,陰木陰火,丙寅,陽火陽木,丙辰,陽火陽土,二黑,土,二黑,土,八白,土
2025-02-17,,乙巳,陰木陰火,丙寅,陽火陽木,丁巳,陰火陰火,二黑,土,二黑,土,九紫,火
2025-02-18,,乙巳,陰木陰火,丙寅,陽火陽木,戊午,陽土陽火,二黑,土,二黑,土,一白,水
2025-02-19,雨水,乙巳,陰木陰火,丙寅,陽火陽木,己未,陰土陰土,二黑,土,二黑,土,二黑,土
2025-02-20,,乙巳,陰木陰火,丙寅,陽火陽木,庚申,陽金陽金,二黑,土,二黑,土,三碧,木
2025-02-21,,乙巳,陰木陰火,丙寅,陽火陽木,辛酉,陰金陰金,二黑,土,二黑,土,四綠,木
2025-02-22,,乙巳,陰木陰火,丙寅,陽火陽木,壬戌,陽水陽土,二黑,土,二黑,土,五黃,土
2025-02-23,,乙巳,陰木陰火,丙寅,陽火陽木,癸亥,陰水陰水,二黑,土,二黑,土,六白,金
2025-02-24,,乙巳,陰木陰火,丙寅,陽火陽木,甲子,陽木陽水,二黑,土,二黑,土,七赤,金
2025-02-25,,乙巳,陰木陰火,丙寅,陽火陽木,乙丑,陰木陰土,二黑,土,二黑,土,八白,土
2025-02-26,,乙巳,陰木陰火,丙寅,陽火陽木,丙寅,陽火陽木,二黑,土,二黑,土,九紫,火
2025-02-27,,乙巳,陰木陰火,丙寅,陽火陽木,丁卯,陰火陰木,二黑,土,二黑,土,一白,水
2025-02-28,,乙巳,陰木陰火,丙寅,陽火陽木,戊辰,陽土陽土,二黑,土,二黑,土,二黑,土
2025-03-01,,乙巳,陰木陰火,丙寅,陽火陽木,己巳,陰土陰火,二黑,土,二黑,土,三碧,木
2025-03-02,,乙巳,陰木陰火,丙寅,陽火陽木,庚午,陽金陽火,二黑,土,二黑,土,四綠,木
2025-03-03,,乙巳,陰木陰火,丙寅,陽火陽木,辛未,陰金陰土,二黑,土,二黑,土,五黃,土
2025-03-04,,乙巳,陰木陰火,丙寅,陽火陽木,壬申,陽水陽金,二黑,土,二黑,土,六白,金
2025-03-05,,乙巳,陰木陰火,丙寅,陽火陽木,癸酉,陰水陰金,二黑,土,二黑,土,七赤,金
2025-03-06,驚蟄,乙巳,陰木陰火,丁卯,陰火陰木,甲戌,陽木陽土,二黑,土,一白,水,八白,土
2025-03-07,,乙巳,陰木陰火,丁卯,陰火陰木,乙亥,陰木陰水,二黑,土,一白,水,九紫,火
2025-03-08,,乙巳,陰木陰火,丁卯,陰火陰木,丙子,陽火陽水,二黑,土,一白,水,一白,水
2025-03-09,,乙巳,陰木陰火,丁卯,陰火陰木,丁丑,陰火陰土,二黑,土,一白,水,二黑,土
2025-03-10,,乙巳,陰木陰火,丁卯,陰火陰木,戊寅,陽土陽木,二黑,土,一白,水,三碧,木
2025-03-11,,乙巳,陰木陰火,丁卯,陰火陰木,己卯,陰土陰木,二黑,土,一白,水,四綠,木
2025-03-12,,乙巳,陰木陰火,丁卯,陰火陰木,庚辰,陽金陽土,二黑,土,一白,水,五黃,土
2025-03-13,,乙巳,陰木陰火,丁卯,陰火陰木,辛巳,陰金陰火,二黑,土,一白,水,六白,金
2025-03-14,,乙巳,陰木陰火,丁卯,陰火陰木,壬午,陽水陽火,二黑,土,一白,水,七赤,金
2025-03-15,,乙巳,陰木陰火,丁卯,陰火陰木,癸未,陰水陰土,二黑,土,一白,水,八白,土
2025-03-16,,乙巳,陰木陰火,丁卯,陰火陰木,甲申,陽木陽金,二黑,土,一白,水,九紫,火
2025-03-17,,乙巳,陰木陰火,丁卯,陰火陰木,乙酉,陰木陰金,二黑,土,一白,水,一白,水
2025-03-18,,乙巳,陰木陰火,丁卯,陰火陰木,丙戌,陽火陽土,二黑,土,一白,水,二黑,土
2025-03-19,,乙巳,陰木陰火,丁卯,陰火陰木,丁亥,陰火陰水,二黑,土,一白,水,三碧,木
2025-03-20,,乙巳,陰木陰火,丁卯,陰火陰木,戊子,陽土陽水,二黑,土,一白,水,四綠,木
2025-03-21,春分,甲辰,陽木陽土,乙卯,陰木陰木,己丑,陰土陰土,三碧,木,四綠,木,五黃,土
